,zone,time,MAC,dust,superdust,tvoc,temp,humid
0,주거단지,2022-01-19T15:00:00.000Z,225399960593880,43,54,439,0,51
1,미래형 자동차1,2022-01-19T15:00:00.000Z,226499472221656,24,30,229,-1,54
2,미래형 자동차2,2022-01-19T15:00:00.000Z,227598983849432,41,50,1025,0,53
3,미래형 자동차3,2022-01-19T15:00:00.000Z,228698495477208,39,45,895,0,53
4,R&D 연구시설단지,2022-01-19T15:00:00.000Z,229798007104984,40,51,173,0,52
5,주거단지,2022-02-09T15:00:00.000Z,225399960593880,46,58,839,6,36
6,미래형 자동차1,2022-02-09T15:00:00.000Z,226499472221656,30,39,642,6,40
7,미래형 자동차2,2022-02-09T15:00:00.000Z,227598983849432,45,56,991,6,38
8,미래형 자동차3,2022-02-09T15:00:00.000Z,228698495477208,43,51,1086,6,39
9,R&D 연구시설단지,2022-02-09T15:00:00.000Z,229798007104984,37,47,800,6,37
10,주거단지,2022-02-10T15:00:00.000Z,225399960593880,58,72,983,5,40
11,미래형 자동차1,2022-02-10T15:00:00.000Z,226499472221656,38,49,439,5,44
12,미래형 자동차2,2022-02-10T15:00:00.000Z,227598983849432,54,68,1060,5,41
13,미래형 자동차3,2022-02-10T15:00:00.000Z,228698495477208,51,63,1159,4,42
14,R&D 연구시설단지,2022-02-10T15:00:00.000Z,229798007104984,53,68,880,4,43
15,주거단지,2022-02-11T15:00:00.000Z,225399960593880,77,89,1083,7,45
16,미래형 자동차1,2022-02-11T15:00:00.000Z,226499472221656,57,73,548,6,48
17,미래형 자동차2,2022-02-11T15:00:00.000Z,227598983849432,69,82,1117,7,46
18,미래형 자동차3,2022-02-11T15:00:00.000Z,228698495477208,65,77,1211,6,48
19,R&D 연구시설단지,2022-02-11T15:00:00.000Z,229798007104984,78,100,872,6,47
20,주거단지,2022-02-12T15:00:00.000Z,225399960593880,66,78,1028,7,70
21,미래형 자동차1,2022-02-12T15:00:00.000Z,226499472221656,49,63,473,7,73
22,미래형 자동차2,2022-02-12T15:00:00.000Z,227598983849432,60,72,1221,7,69
23,미래형 자동차3,2022-02-12T15:00:00.000Z,228698495477208,57,68,1217,7,72
24,R&D 연구시설단지,2022-02-12T15:00:00.000Z,229798007104984,70,90,1005,6,71
25,주거단지,2022-02-13T15:00:00.000Z,225399960593880,48,59,948,8,65
26,미래형 자동차1,2022-02-13T15:00:00.000Z,226499472221656,36,46,575,7,66
27,미래형 자동차2,2022-02-13T15:00:00.000Z,227598983849432,46,57,1075,8,65
28,미래형 자동차3,2022-02-13T15:00:00.000Z,228698495477208,44,53,1176,7,66
29,R&D 연구시설단지,2022-02-13T15:00:00.000Z,229798007104984,46,60,731,7,66
30,주거단지,2022-02-14T15:00:00.000Z,225399960593880,30,37,337,4,39
31,미래형 자동차1,2022-02-14T15:00:00.000Z,226499472221656,22,28,314,3,43
32,미래형 자동차2,2022-02-14T15:00:00.000Z,227598983849432,28,34,741,3,42
33,미래형 자동차3,2022-02-14T15:00:00.000Z,228698495477208,27,31,701,3,42
34,R&D 연구시설단지,2022-02-14T15:00:00.000Z,229798007104984,31,39,407,2,42
